asylum;madhouse;3.61;0.068725
automobile;car;3.92;0.84131
bird;crane;2.97;0.18167
bird;cock;3.05;0.098652
boy;lad;3.76;0.49108
brother;lad;1.66;0.29466
brother;monk;2.82;0.22121
car;journey;1.16;0.30749
cemetery;woodland;0.95;0.11258
coast;shore;3.70;0.58216
coast;hill;0.87;0.30959
coast;forest;0.42;0.26516
cord;smile;0.13;0.051654
crane;implement;1.68;0.088844
food;fruit;3.08;0.42093
food;rooster;0.89;0.10844
forest;graveyard;0.84;0.15396
furnace;stove;3.11;0.51286
gem;jewel;3.84;0.80817
glass;magician;0.11;0.10479
implement;tool;2.95;0.67704
journey;voyage;3.84;0.58217
lad;wizard;0.42;0.15943
magician;wizard;3.50;0.69508
midday;noon;3.42;1
monk;slave;0.55;0.16435
monk;oracle;1.10;0.073712
noon;string;0.08;0.047087
rooster;voyage;0.08;0.043886
shore;woodland;0.63;0.11899
