asylum;madhouse;3.61;0.33918
automobile;car;3.92;1
bird;crane;2.97;0.33338
bird;cock;3.05;0.13259
boy;lad;3.76;0.37565
brother;monk;2.82;0.36243
brother;lad;1.66;0.15581
car;journey;1.16;0.24928
cemetery;woodland;0.95;0.087555
coast;shore;3.70;0.68935
coast;forest;0.42;0.39051
coast;hill;0.87;0.28945
cord;smile;0.13;0.056484
crane;implement;1.68;0.030764
food;fruit;3.08;0.68926
food;rooster;0.89;0.032868
forest;graveyard;0.84;0.095256
furnace;stove;3.11;0.47158
gem;jewel;3.84;0.55514
glass;magician;0.11;0.062921
implement;tool;2.95;0.18653
journey;voyage;3.84;0.90378
lad;wizard;0.42;0.068443
magician;wizard;3.50;0.53682
midday;noon;3.42;0.96564
monk;slave;0.55;0.24871
monk;oracle;1.10;0.11162
noon;string;0.08;0.043809
rooster;voyage;0.08;0.029471
shore;woodland;0.63;0.11391
