automobile;car;3.92;0.511
gem;jewel;3.84;0.000
journey;voyage;3.84;0.271
boy;lad;3.76;0.687
coast;shore;3.70;0.513
asylum;madhouse;3.61;0.235
magician;wizard;3.50;0.364
midday;noon;3.42;0.592
furnace;stove;3.11;0.268
food;fruit;3.08;0.782
bird;cock;3.05;0.360
bird;crane;2.97;1.000
implement;tool;2.95;0.245
brother;monk;2.82;0.579
brother;lad;1.66;0.1308
crane;implement;1.68;0.338
car;journey;1.16;0.373
monk;oracle;1.10;0.632
cemetery;woodland;0.95;0.773
food;rooster;0.89;0.606
coast;hill;0.87;0.430
forest;graveyard;0.84;0.740
shore;woodland;0.63;0.736
monk;slave;0.55;0.559
coast;forest;0.42;0.676
lad;wizard;0.42;0.635
cord;smile;0.13;0.270
glass;magician;0.11;0.726
rooster;voyage;0.08;0.356
noon;string;0.08;0.370
