cord;smile;0.02;0.997
rooster;voyage;0.04;0.858
noon;string;0.04;0.837
fruit;furnace;0.05;0.828
autograph;shore;0.06;0.940
automobile;wizard;0.11;0.820
mound;stove;0.14;0.958
grin;implement;0.18;0.925
asylum;fruit;0.19;0.985
asylum;monk;0.39;0.975
graveyard;madhouse;0.42;0.019
glass;magician;0.44;0.969
boy;rooster;0.44;0.888
cushion;jewel;0.45;0.946
monk;slave;0.57;0.817
asylum;cemetery;0.79;0.677
coast;forest;0.85;0.914
grin;lad;0.88;0.686
shore;woodland;0.90;0.825
monk;oracle;0.91;0.968
boy;sage;0.96;0.931
automobile;cushion;0.97;0.948
mound;shore;0.97;0.975
lad;wizard;0.99;0.819
forest;graveyard;1.00;0.974
food;rooster;1.09;0.804
cemetery;woodland;1.18;0.829
shore;voyage;1.22;0.948
bird;woodland;1.24;0.672
coast;hill;1.26;0.989
furnace;implement;1.37;0.826
crane;rooster;1.41;0.877
hill;woodland;1.48;0.977
car;journey;1.55;0.961
cemetery;mound;1.69;0.783
glass;jewel;1.78;0.979
magician;oracle;1.82;0.993
crane;implement;2.37;0.998
brother;lad;2.41;0.889
sage;wizard;2.46;0.949
oracle;sage;2.61;0.814
bird;crane;2.63;0.981
bird;cock;2.63;0.986
food;fruit;2.69;0.935
brother;monk;2.74;0.957
asylum;madhouse;3.04;0.401
furnace;stove;3.11;0.741
magician;wizard;3.21;0.873
hill;mound;3.29;0.979
cord;string;3.41;0.993
glass;tumbler;3.45;0.995
grin;smile;3.46;0.857
serf;slave;3.46;0.844
journey;voyage;3.58;0.538
autograph;signature;3.59;0.995
coast;shore;3.60;0.867
forest;woodland;3.65;0.923
implement;tool;3.66;0.984
cock;rooster;3.68;0.772
boy;lad;3.82;0.843
cushion;pillow;3.84;0.903
cemetery;graveyard;3.88;0.372
automobile;car;3.92;0.823
midday;noon;3.94;0.778
gem;jewel;3.94;0.919
