cord;smile;0.02;34
rooster;voyage;0.04;10
noon;string;0.04;16
fruit;furnace;0.05;110
autograph;shore;0.06;31
automobile;wizard;0.11;45
mound;stove;0.14;48
grin;implement;0.18;24
asylum;fruit;0.19;28
asylum;monk;0.39;36
graveyard;madhouse;0.42;8
glass;magician;0.44;26
boy;rooster;0.44;18
cushion;jewel;0.45;65
monk;slave;0.57;74
asylum;cemetery;0.79;13
coast;forest;0.85;94
grin;lad;0.88;15
shore;woodland;0.90;70
monk;oracle;0.91;30
boy;sage;0.96;43
automobile;cushion;0.97;168
mound;shore;0.97;45
lad;wizard;0.99;13
forest;graveyard;1.00;21
food;rooster;1.09;19
cemetery;woodland;1.18;21
shore;voyage;1.22;46
bird;woodland;1.24;113
coast;hill;1.26;123
furnace;implement;1.37;150
crane;rooster;1.41;12
hill;woodland;1.48;80
car;journey;1.55;179
cemetery;mound;1.69;25
glass;jewel;1.78;91
magician;oracle;1.82;31
crane;implement;2.37;48
brother;lad;2.41;29
sage;wizard;2.46;31
oracle;sage;2.61;26
bird;crane;2.63;74
bird;cock;2.63;147
food;fruit;2.69;128
brother;monk;2.74;503
asylum;madhouse;3.04;104
furnace;stove;3.11;190
magician;wizard;3.21;421
hill;mound;3.29;1226
cord;string;3.41;369
glass;tumbler;3.45;315
grin;smile;3.46;451
serf;slave;3.46;51
journey;voyage;3.58;180
autograph;signature;3.59;73
coast;shore;3.60;330
forest;woodland;3.65;1732
implement;tool;3.66;509
cock;rooster;3.68;418
boy;lad;3.82;152
cushion;pillow;3.84;462
cemetery;graveyard;3.88;308
automobile;car;3.92;9519
midday;noon;3.94;152
gem;jewel;3.94;2431
